test_num,time,lat,long,mcs,min_rssi,max_rssi
1,15:14:40+00:00,2938.74779,08221.03370,0,-45,-41
1,15:14:40+00:00,2938.74779,08221.03370,1,-46,-40
1,15:14:40+00:00,2938.74779,08221.03370,2,-45,-40
1,15:14:40+00:00,2938.74779,08221.03370,3,-41,-39
1,15:14:40+00:00,2938.74779,08221.03370,4,-43,-40
2,15:20:00+00:00,2938.74994,08221.03236,0,-75,-71
2,15:20:00+00:00,2938.74994,08221.03236,1,-69,-67
2,15:20:00+00:00,2938.74994,08221.03236,2,-73,-63
2,15:20:00+00:00,2938.74994,08221.03236,3,-63,-62
2,15:20:00+00:00,2938.74994,08221.03236,4,-84,-71
3,15:20:01+00:00,2938.75032,08221.03250,0,-75,-72
3,15:20:01+00:00,2938.75032,08221.03250,1,-75,-71
3,15:20:01+00:00,2938.75032,08221.03250,2,-75,-70
3,15:20:01+00:00,2938.75032,08221.03250,3,-76,-74
3,15:20:01+00:00,2938.75032,08221.03250,4,-77,-63
4,15:20:02+00:00,2938.75066,08221.03260,0,-90,-87 // something funky going on here
4,15:20:02+00:00,2938.75066,08221.03260,2,-85,-80 // something funky going on here
4,15:20:02+00:00,2938.75066,08221.03260,4,-81,-77 // something funky going on here
5,15:20:03+00:00,2938.75092,08221.03257,0,-96,-83 // something funky going on here
5,15:20:03+00:00,2938.75092,08221.03257,1,-87,-82 // something funky going on here
5,15:20:03+00:00,2938.75092,08221.03257,3,-98,-88 // something funky going on here
5,15:20:03+00:00,2938.75092,08221.03257,1,-91,-86
5,15:20:03+00:00,2938.75092,08221.03257,2,-86,-84
6,15:42:25+00:00,2938.71563,08221.02787,0,-76,-73
6,15:42:25+00:00,2938.71563,08221.02787,1,-78,-74
6,15:42:25+00:00,2938.71563,08221.02787,2,-79,-76
6,15:42:25+00:00,2938.71563,08221.02787,3,-80,-71
6,15:42:25+00:00,2938.71563,08221.02787,4,-79,-76
7,15:42:26+00:00,2938.71484,08221.02804,0,-98,-80
7,15:42:26+00:00,2938.71484,08221.02804,1,-88,-80
7,15:42:26+00:00,2938.71484,08221.02804,2,-84,-79
7,15:42:26+00:00,2938.71484,08221.02804,3,-88,-81
